ID,LAT,LONG,Elevation,pH,EC(dSm-1),OC(gkg-1),CaCO3(gkg-1),S(mgkg-1),Zn(mgkg-1),Cu(mgkg-1),Fe(mgkg-1),Mn(mgkg-1),B(mgkg-1)
57,24.06008333,79.37022222,347,7.62,0.38,5.15,30,16.27,0.62,0.76,10.32,5.96,1.05
58,24.06605556,79.36913889,349.3,7.4,0.31,4.91,75,15.13,0.94,0.74,10.46,6.72,2.26
59,24.06616667,79.36855556,350,7.69,0.14,5.69,10,20.44,0.7,0.92,13.02,7.74,1.17
60,24.07269444,79.36244444,352.6,7.75,0.16,5.44,95,24.09,0.62,0.62,7.88,12.12,0.39
61,24.07272222,79.35625,351.6,7.22,0.15,4.07,35,8.49,0.84,0.98,13.28,4.96,1.92
62,24.07711111,79.36538889,354,8.03,0.16,4.96,30,5.78,0.62,0.66,8.28,5.78,1.07
63,24.11383333,79.36158333,358.8,6.95,0.15,5.44,40,6.48,0.88,1.12,16.6,10.56,0.62
64,24.123,79.368,360.7,5.5,0.06,4.72,15,10.66,0.86,1.38,50.08,33.86,2.07
65,24.09877778,79.32344444,364.5,6.01,0.08,3.96,35,12.37,1.08,2.38,66.92,18.82,0.94
66,24.08461111,79.3055,366.8,6.3,0.2,6.48,40,11.15,0.88,1.5,25.7,21.18,2.5
67,24.08216667,79.307,364,7.86,0.16,5.94,50,11.64,1.06,0.9,8,6.66,1.53
68,24.07672222,79.29083333,365.5,7.16,0.09,6.09,75,10.54,0.84,1.58,22.42,14.3,1.44
69,24.07672222,79.29083333,365.5,6.78,0.2,6.45,65,12.13,1.24,1.52,18.06,13.16,1.19
70,24.07422222,79.282,367.8,6.85,0.1,5.27,25,11.02,1.02,0.88,12.4,12.92,0.86
71,24.06036111,79.26711111,363.5,7.72,0.52,4.16,35,11.76,0.64,1.14,6.5,4.84,1.19
72,24.06036111,79.26711111,363.5,7.2,0.08,4.65,15,11.76,0.86,1.28,17.32,9.8,2.17
73,24.05263889,79.25911111,363.7,7.45,0.11,5.87,30,10.78,0.86,0.96,7.44,8.32,0.96
74,24.05125,79.25941667,362,7.89,0.1,5.05,45,9.69,0.84,0.68,6.94,4.6,1.44
75,24.039,79.25902778,361.7,8.01,0.1,6.77,50,13.24,1.32,1.76,6.36,4.86,1.57
76,24.03836111,79.25908333,360.6,7.72,0.09,6.35,10,11.15,0.74,1.4,7.6,3.92,1.87
77,24.02677778,79.25775,359.8,8.18,0.11,4.39,65,9.69,0.78,1.38,5.48,4.84,0.81
