ID,LAT,LONG,Elevation,pH,EC(dSm-1),OC(gkg-1),CaCO3(gkg-1),S(mgkg-1),Zn(mgkg-1),Cu(mgkg-1),Fe(mgkg-1),Mn(mgkg-1),B(mgkg-1)
245,23.61519444,79.64169444,347.8,7.91,0.18,3.78,80,26.03,0.64,1.6,24.1,5.86,2.69
246,23.57380556,79.66316667,360.2,6.62,0.11,2.92,50,21.65,1.08,2.14,36.64,34.36,2.48
247,23.57325,79.66255556,361,6.77,0.1,2.27,35,13.12,1.06,1.72,34.46,27.34,4.79
248,23.56677778,79.66858333,356.5,6.74,0.13,1.92,65,15.51,0.44,0.96,15.2,11.54,1.37
249,23.56869444,79.67197222,355,8.15,0.14,3.78,45,27.44,0.66,1.04,19.2,15.5,2.11
250,23.56894444,79.67247222,355,7.92,0.11,2.62,35,20.98,0.38,1,12.6,18.94,3.21
251,23.54627778,79.66880556,359.9,7.53,0.18,4.42,25,32.21,0.62,1.32,16.34,12.08,2.88
252,23.54636111,79.66883333,359.9,7.84,0.14,3.49,35,56.41,0.78,2.1,25.3,16.52,1.89
253,23.54044444,79.66858333,358.2,7.14,0.09,2.21,60,38.92,0.62,1.32,26.52,21.02,6.93
254,23.53938889,79.6685,358.2,7.62,0.11,4.42,60,34.45,0.72,1.28,20.9,14.48,1.31
255,23.54675,79.69941667,375.9,6.12,0.14,4.46,30,20.84,1.52,3.04,64.92,82.46,4.35
256,23.54844444,79.77827778,413.9,6.4,0.44,4.81,50,25.47,1.42,2.8,50.18,27.88,2.09
257,23.54572222,79.80722222,403.2,7.37,0.1,2.13,35,20.58,3.26,4.36,33.94,16.02,2.29
258,23.54413889,79.81105556,400.3,6.98,0.06,2.19,25,31.77,1.24,5.5,61.42,26.58,1.53
259,23.53069444,79.82452778,401.9,6.53,0.07,2.71,50,17.3,1.2,2.18,60.86,48.1,3.12
260,23.53080556,79.82483333,401.2,6.25,0.14,3.27,45,24.23,1.1,2,52.84,58.96,2.62
